slug,display_name,input_modalities,output_modalities,context_window,max_input_tokens,max_tokens(abandon),max_completion_tokens,max_output_tokens,reasoning_levels,default_reasoning,行号,分类,缺失字段,建议关注缺项,无需强补的独立字段,补全必要性,补全方式,当前查询证据_固定来源,候选来源与值_非已应用,候选可补字段,候选与已有字段差异_非最终合并,已有值风险,部署时输出字段失去,部署时id存在性变化,验证边界
axis/gpt-5.2-2025-12-11,gpt-5.2-2025-12-11,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,1,准确型号未找到，暂留未知,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,输出/模态有补全价值，但准确型号证据不足，暂留未知。,逐项核对准确型号/供应方资料；不删日期、:tag、-fast、-free、-paid、-high或猜替代版本。没有记录时加绑定也无效。,modelparams.dev//subscription id=gpt-5.2-2025-12-11 miss; models.dev/ id=gpt-5.2-2025-12-11 miss,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
axis/gpt-5.3-codex-spark,gpt-5.3-codex-spark,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,2,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/openai]=gpt-5.3-codex-spark；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,modelparams.dev//subscription id=gpt-5.3-codex-spark hit(); models.dev/ id=gpt-5.3-codex-spark ambiguous:2,"models.dev/openai / gpt-5.3-codex-spark => {""context_window"":128000,""input_modalities"":[""text"",""image"",""pdf""],""max_input_tokens"":100000,""max_output_tokens"":32000,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}]}","{""max_input_tokens"":100000,""max_output_tokens"":32000,""output_modalities"":[""text""]}","{""context_window"":{""candidate"":128000,""current"":272000},""input_modalities"":{""candidate"":[""text"",""image"",""pdf""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,失去,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
axis/gpt-5.4-2026-03-05,gpt-5.4-2026-03-05,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,3,准确型号未找到，暂留未知,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,输出/模态有补全价值，但准确型号证据不足，暂留未知。,逐项核对准确型号/供应方资料；不删日期、:tag、-fast、-free、-paid、-high或猜替代版本。没有记录时加绑定也无效。,modelparams.dev//subscription id=gpt-5.4-2026-03-05 miss; models.dev/ id=gpt-5.4-2026-03-05 miss,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
axis/gpt-5.5,gpt-5.5,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,4,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/openai]=gpt-5.5；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,modelparams.dev//subscription id=gpt-5.5 hit(); models.dev/ id=gpt-5.5 ambiguous:18,"models.dev/openai / gpt-5.5 => {""context_window"":1050000,""input_modalities"":[""text"",""image"",""pdf""],""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}]}","{""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""]}","{""context_window"":{""candidate"":1050000,""current"":272000},""input_modalities"":{""candidate"":[""text"",""image"",""pdf""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,失去,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
axis/gpt-5.6,gpt-5.6,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,5,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/openai]=gpt-5.6；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,modelparams.dev//subscription id=gpt-5.6 miss; models.dev/ id=gpt-5.6 ambiguous:2,"models.dev/openai / gpt-5.6 => {""context_window"":1050000,""input_modalities"":[""text"",""image"",""pdf""],""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}","{""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""]}","{""context_window"":{""candidate"":1050000,""current"":272000},""input_modalities"":{""candidate"":[""text"",""image"",""pdf""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,失去,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
axis/gpt-5.6-luna,gpt-5.6-luna,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,6,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/openai]=gpt-5.6-luna；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,modelparams.dev//subscription id=gpt-5.6-luna hit(); models.dev/ id=gpt-5.6-luna ambiguous:16,"models.dev/openai / gpt-5.6-luna => {""context_window"":1050000,""input_modalities"":[""text"",""image"",""pdf""],""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}","{""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""]}","{""context_window"":{""candidate"":1050000,""current"":272000},""input_modalities"":{""candidate"":[""text"",""image"",""pdf""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,失去,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
axis/gpt-5.6-sol,gpt-5.6-sol,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,7,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/openai]=gpt-5.6-sol；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,modelparams.dev//subscription id=gpt-5.6-sol hit(); models.dev/ id=gpt-5.6-sol ambiguous:17,"models.dev/openai / gpt-5.6-sol => {""context_window"":1050000,""input_modalities"":[""text"",""image"",""pdf""],""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}","{""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""]}","{""context_window"":{""candidate"":1050000,""current"":272000},""input_modalities"":{""candidate"":[""text"",""image"",""pdf""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,失去,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
axis/gpt-5.6-terra,gpt-5.6-terra,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,8,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/openai]=gpt-5.6-terra；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,modelparams.dev//subscription id=gpt-5.6-terra hit(); models.dev/ id=gpt-5.6-terra ambiguous:16,"models.dev/openai / gpt-5.6-terra => {""context_window"":1050000,""input_modalities"":[""text"",""image"",""pdf""],""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}","{""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""]}","{""context_window"":{""candidate"":1050000,""current"":272000},""input_modalities"":{""candidate"":[""text"",""image"",""pdf""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,失去,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
axis/gpt-6-astra,gpt-6-astra,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium,9,原来源准确命中，可批量生成逐模型绑定,output_modalities;max_input_tokens;max_tokens(abandon);max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_tokens(abandon);max_completion_tokens,建议补：已有配置来源存在准确ID及缺失字段；这是目录资料，不是渠道实测。,可批量生成models.<模型名>.lookup_ids[models.dev/openai]=gpt-6-astra；当前语法仍是逐模型绑定，裸名不能用provider_prefix_map一条规则覆盖。,modelparams.dev//subscription id=gpt-6-astra miss; models.dev/ id=gpt-6-astra ambiguous:7,"models.dev/openai / gpt-6-astra => {""context_window"":1050000,""input_modalities"":[""text"",""image"",""pdf""],""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""],""reasoning_levels"":[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}","{""max_input_tokens"":922000,""max_output_tokens"":128000,""output_modalities"":[""text""]}","{""context_window"":{""candidate"":1050000,""current"":272000},""input_modalities"":{""candidate"":[""text"",""image"",""pdf""],""current"":[""text"",""image""]},""reasoning_levels"":{""candidate"":[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}],""current"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]}}",候选也可能覆盖已有字段；差异是候选记录对比，不是最终合并预测,是,失去,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
codex/codex-auto-review,Codex Auto Review,"[""text"",""image""]",未知,272000,未知,128000,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""}]",medium,10,原生透传或继承，不新增bulk补全,output_modalities;max_input_tokens;max_completion_tokens;max_output_tokens,output_modalities;max_output_tokens,max_input_tokens;max_completion_tokens,按现有原生透传/静态继承约定，不为填空新增外部补全。,保留同名字段；max_tokens存在不等于max_output_tokens/max_completion_tokens存在。缺模态也不凭名称推断。,未执行bulk查询,未为本行选择补全来源,{},{},,否,无,固定来源的Go适配/精确查询证据；不是当前来源新鲜度或渠道推理能力证明。
