slug,display_name,input_modalities,output_modalities,context_window,max_input_tokens,max_tokens(abandon),max_completion_tokens,max_output_tokens,reasoning_levels,default_reasoning
axis/gpt-5.3-codex-spark,GPT-5.3 Codex Spark,"[""text"",""image"",""pdf""]","[""text""]",128000,100000,未知,未知,32000,"[""none"",""low"",""medium"",""high"",""xhigh""]",medium
axis/gpt-5.5,GPT-5.5,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh""]",medium
axis/gpt-5.6,GPT-5.6,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium
axis/gpt-5.6-luna,GPT-5.6 Luna,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium
axis/gpt-5.6-sol,GPT-5.6 Sol,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium
axis/gpt-5.6-terra,GPT-5.6 Terra,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium
axis/gpt-6-astra,GPT-6 Astra,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
codex/codex-auto-review,Codex Auto Review,"[""text"",""image""]",未知,272000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
codex/gpt-5.3-codex-spark,GPT 5.3 Codex Spark,"[""text""]",未知,128000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
codex/gpt-5.5,GPT 5.5,"[""text"",""image""]",未知,272000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium
codex/gpt-5.6-luna,GPT 5.6 Luna,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
codex/gpt-5.6-sol,GPT 5.6 Sol,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium
