slug,display_name,input_modalities,output_modalities,context_window,max_input_tokens,max_tokens(abandon),max_completion_tokens,max_output_tokens,reasoning_levels,default_reasoning,历史分类_非当前结论,代码部署前缺失,当前缺失,核心字段变化,id部署前存在,id现在存在,已知风险
axis/gpt-5.3-codex-spark,GPT-5.3 Codex Spark,"[""text"",""image"",""pdf""]","[""text""]",128000,100000,未知,未知,32000,"[""none"",""low"",""medium"",""high"",""xhigh""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""display_name"":{""before_present"":true,""after_present"":true,""before"":""gpt-5.3-codex-spark"",""after"":""GPT-5.3 Codex Spark""},""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""context_window"":{""before_present"":true,""after_present"":true,""before"":272000,""after"":128000},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":100000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":32000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}]}}",False,True,
axis/gpt-5.5,GPT-5.5,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""display_name"":{""before_present"":true,""after_present"":true,""before"":""gpt-5.5"",""after"":""GPT-5.5""},""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""context_window"":{""before_present"":true,""after_present"":true,""before"":272000,""after"":1050000},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":922000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""}]}}",False,True,
axis/gpt-5.6,GPT-5.6,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""display_name"":{""before_present"":true,""after_present"":true,""before"":""gpt-5.6"",""after"":""GPT-5.6""},""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""context_window"":{""before_present"":true,""after_present"":true,""before"":272000,""after"":1050000},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":922000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",False,True,
axis/gpt-5.6-luna,GPT-5.6 Luna,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""display_name"":{""before_present"":true,""after_present"":true,""before"":""gpt-5.6-luna"",""after"":""GPT-5.6 Luna""},""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""context_window"":{""before_present"":true,""after_present"":true,""before"":272000,""after"":1050000},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":922000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",False,True,
axis/gpt-5.6-sol,GPT-5.6 Sol,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""display_name"":{""before_present"":true,""after_present"":true,""before"":""gpt-5.6-sol"",""after"":""GPT-5.6 Sol""},""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""context_window"":{""before_present"":true,""after_present"":true,""before"":272000,""after"":1050000},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":922000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",False,True,
axis/gpt-5.6-terra,GPT-5.6 Terra,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""none"",""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""display_name"":{""before_present"":true,""after_present"":true,""before"":""gpt-5.6-terra"",""after"":""GPT-5.6 Terra""},""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""context_window"":{""before_present"":true,""after_present"":true,""before"":272000,""after"":1050000},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":922000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""none""},{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",False,True,
axis/gpt-6-astra,GPT-6 Astra,"[""text"",""image"",""pdf""]","[""text""]",1050000,922000,未知,未知,128000,"[""low"",""medium"",""high"",""xhigh"",""max""]",medium,原来源准确命中，可批量生成逐模型绑定,"output_modalities,max_input_tokens,max_tokens,max_completion_tokens,max_output_tokens","max_tokens,max_completion_tokens","{""display_name"":{""before_present"":true,""after_present"":true,""before"":""gpt-6-astra"",""after"":""GPT-6 Astra""},""input_modalities"":{""before_present"":true,""after_present"":true,""before"":[""text"",""image""],""after"":[""text"",""image"",""pdf""]},""output_modalities"":{""before_present"":false,""after_present"":true,""after"":[""text""]},""context_window"":{""before_present"":true,""after_present"":true,""before"":272000,""after"":1050000},""max_input_tokens"":{""before_present"":false,""after_present"":true,""after"":922000},""max_output_tokens"":{""before_present"":false,""after_present"":true,""after"":128000},""supported_reasoning_levels"":{""before_present"":true,""after_present"":true,""before"":[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}],""after"":[{""effort"":""low""},{""effort"":""medium""},{""effort"":""high""},{""effort"":""xhigh""},{""effort"":""max""}]}}",False,True,
codex/codex-auto-review,Codex Auto Review,"[""text"",""image""]",未知,272000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium,原生透传或继承，不新增bulk补全,"output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens",{},False,False,
codex/gpt-5.3-codex-spark,GPT 5.3 Codex Spark,"[""text""]",未知,128000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium,原生透传或继承，不新增bulk补全,"output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens",{},False,False,
codex/gpt-5.5,GPT 5.5,"[""text"",""image""]",未知,272000,未知,128000,未知,未知,"[""low"",""medium"",""high"",""xhigh""]",medium,原生透传或继承，不新增bulk补全,"output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens","output_modalities,max_input_tokens,max_completion_tokens,max_output_tokens",{},False,False,
