slug,display_name,input_modalities,output_modalities,context_window,max_input_tokens,max_tokens(abandon),max_completion_tokens,max_output_tokens,reasoning_levels,default_reasoning
axis/gpt-5.2-2025-12-11,gpt-5.2-2025-12-11,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
axis/gpt-5.3-codex-spark,gpt-5.3-codex-spark,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
axis/gpt-5.4-2026-03-05,gpt-5.4-2026-03-05,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
axis/gpt-5.5,gpt-5.5,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
axis/gpt-5.6,gpt-5.6,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
axis/gpt-5.6-luna,gpt-5.6-luna,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
axis/gpt-5.6-sol,gpt-5.6-sol,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
axis/gpt-5.6-terra,gpt-5.6-terra,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
axis/gpt-6-astra,gpt-6-astra,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
codex/codex-auto-review,Codex Auto Review,"[""text"",""image""]",未知,272000,未知,128000,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""}]",medium
codex/gpt-5.3-codex-spark,GPT 5.3 Codex Spark,"[""text""]",未知,128000,未知,128000,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""}]",medium
codex/gpt-5.5,GPT 5.5,"[""text"",""image""]",未知,272000,未知,128000,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""}]",medium
codex/gpt-5.6-luna,GPT 5.6 Luna,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""},{""description"":""Maximum available reasoning depth for complex problems"",""effort"":""max""}]",medium
codex/gpt-5.6-sol,GPT 5.6 Sol,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""},{""description"":""Maximum available reasoning depth for complex problems"",""effort"":""max""}]",medium
codex/gpt-5.6-terra,GPT 5.6 Terra,"[""text"",""image""]",未知,921000,未知,128000,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""},{""description"":""Maximum available reasoning depth for complex problems"",""effort"":""max""}]",medium
codex/gpt-6-astra,GPT 6.0 Astra,"[""text"",""image""]",未知,272000,未知,128000,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""},{""description"":""Maximum available reasoning depth for complex problems"",""effort"":""max""}]",medium
codex/gpt-image-1.5,GPT Image 1.5,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""}]",medium
codex/gpt-image-2,GPT Image 2,"[""text"",""image""]",未知,272000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""},{""description"":""Extra high reasoning depth for complex problems"",""effort"":""xhigh""}]",medium
commandcode/MiniMaxAI/MiniMax-M2.5,MiniMax-M2.5,"[""text""]","[""text""]",204800,未知,未知,未知,131072,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
commandcode/MiniMaxAI/MiniMax-M2.7,MiniMax-M2.7,"[""text""]","[""text""]",204800,未知,未知,未知,131072,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
commandcode/MiniMaxAI/MiniMax-M3,MiniMax-M3,"[""text"",""image"",""video""]","[""text""]",1048576,未知,未知,未知,512000,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
commandcode/Qwen/Qwen3.6-Max-Preview,Qwen3.6 Max Preview,"[""text""]","[""text""]",262144,未知,未知,未知,65536,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
commandcode/Qwen/Qwen3.6-Plus,Qwen3.6 Plus,"[""text"",""image"",""video""]","[""text""]",1000000,未知,未知,未知,65536,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
commandcode/Qwen/Qwen3.7-Flash,Qwen3.7 Flash,"[""text"",""image"",""video""]","[""text""]",1000000,991000,未知,未知,65536,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
commandcode/Qwen/Qwen3.7-Max,Qwen3.7 Max,"[""text""]","[""text""]",1000000,未知,未知,未知,65536,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
commandcode/Qwen/Qwen3.7-Plus,Qwen3.7 Plus,"[""text"",""image"",""video""]","[""text""]",1000000,未知,未知,未知,65536,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
commandcode/Qwen/Qwen3.8-27B,Qwen3.8 27B,"[""text"",""image"",""video""]","[""text""]",262144,未知,未知,未知,32768,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
commandcode/Qwen/Qwen3.8-Flash,Qwen3.8 Flash,"[""text"",""image"",""video""]","[""text""]",1000000,未知,未知,未知,131072,"[{""effort"":""low""},{""effort"":""medium""},{""effort"":""xhigh""}]",medium
commandcode/Qwen/Qwen3.8-Max,Qwen3.8 Max,"[""text"",""image"",""video"",""pdf""]","[""text""]",1000000,未知,未知,未知,131072,"[{""effort"":""low""},{""effort"":""medium""},{""effort"":""xhigh""}]",medium
commandcode/Qwen/Qwen3.8-Max-0902,Qwen3.8 Max 0902,"[""text"",""image"",""video"",""pdf""]","[""text""]",1000000,未知,未知,未知,131072,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
commandcode/claude-fable-5,Claude Fable 5,"[""text"",""image""]",未知,1000000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
commandcode/claude-fable-5-1,Claude Fable 5.1,"[""text"",""image""]",未知,1000000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
commandcode/claude-haiku-4-5-20251001,Claude Haiku 4.5,"[""text"",""image""]",未知,200000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
commandcode/claude-opus-4-7,Claude Opus 4.7,"[""text"",""image""]",未知,1000000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
commandcode/claude-opus-4-8,Claude Opus 4.8,"[""text"",""image""]",未知,1000000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
commandcode/claude-opus-5,Claude Opus 5,"[""text"",""image""]",未知,1000000,未知,未知,未知,未知,"[{""description"":""Fast responses with lighter reasoning"",""effort"":""low""},{""description"":""Balances speed and reasoning depth for everyday tasks"",""effort"":""medium""},{""description"":""Greater reasoning depth for complex problems"",""effort"":""high""}]",medium
